category,title
학사공지,2019년도 하계(제51차) 대학생을 위한 외교 워크숍 안내
행정공지,차세대통합정보시스템 디자인 학생 선호도 조사 안내
학사공지,2019-여름학기 교내/외 생활관 추가모집 안내
행정공지,6월 각 군 현역병 모집일정
행정공지,6월 건강소식 - 건강한 방학을 위한 예방접종
행사·활동·이벤트 공지,2019 명원민속관 풍류나누기 명인시리즈 3회 피리 최경만
장학공지,2019 한국산림복지진흥원 산림 일자리 체험 장학금
장학공지,2019 한국산림복지진흥원 녹생 학업장학금 안내
행정공지,[주차장] 2019학년도 하계 주차장 이용 안내
특강공지,글말교실 수요특강(8회차):외국인유학생 시험답안 작성법 
행정공지,2019학년도 하반기 숲해설가 21기 모집 안내
행사·활동·이벤트 공지,"<여름이 오는 길, 단오부채 만들기> 행사"
행사·활동·이벤트 공지,"<그림 속 서재, 책거리> 展 개최"
장학공지,2019년 2학기 삼성드림클래스 주중주말교실 대학생멘토 정기선발(재공지) 
학사공지,2019학년도 여름학기 사회봉사Ⅲ 교과목 신청 안내
학사공지,다·부전공 지원조건 및 전형 변경 안내
학사공지,2019학년도 1학기 Customized전공 과목 인정 신청 안내
장학공지,2019년도 주심장학생 선발
학사공지,2019학년도 여름 계절학기 수강신청 지연 관련 안내
분실물센터,"2019년 6월 7일 분실물 (시계, 후드집업, 가방, 블루투스이어폰, 화장품파..."
행정공지,[홍보팀] 교수님들의 다양한 성과를 공유해주세요  
행정공지,2019년 국민대학교 예비창업패키지 청년 예비창업자 모집 공고
학사공지,학기말 수업평가 안내(학부)
학사공지,2019학년도 1학기 학업성적 확인 및 정정요청 기간 안내
학사공지,2019학년도 2학기 외국인 유학생 생활관 신청 안내
총학생회공지,5/30 비상학생총회 소집
학사공지,2019학년도 하계 계절학기 수강신청 안내
학사공지,2019학년도 1학기 기말시험 보조감독 모집
장학공지,2019년 서울교환학생장학금 선발 
행정공지,International Digital Architecture Summer Wo...
장학공지,2019학년도 1학기 청춘공감생활비지원장학생 선발결과 조회 안내
장학공지,2019 『내가 한국바로알리기의 주인공』외국인 에세이 공모 안내
학사공지,2019학년도 2학기 재입학 안내
행정공지,"2019 국민대학교 건축대학 졸업전시회 ""Archi Logue"""
장학공지,2019년 상반기 천안시 대학생 학자금 대출이자 지원 신청안내
학사공지,2018학년도 후기(2019년 8월 졸업) 예비졸업사정 결과 확인 및 이의신청 ...
분실물센터,"2019년 5월 21일 분실물 (옷, 가방, 자동차키 등)"
장학공지,2019년 1학기 목포시 대학생 학자금 대출이자 지원 신청안내
장학공지,2019학년도 2학기 국가장학금 1차 신청 안내[재학생은 반드시 1차신청]
행사·활동·이벤트 공지,"[국민대 초대] <하이메 아욘, 숨겨진 일곱 가지 사연>"
장학공지,2019학년도 2학기 국가근로장학금 1차 통합신청안내
장학공지,2019년 1학기 국가근로장학사업 하계방학 집중근로 프로그램 희망근로기관 신청안...
장학공지,2019년 글로벌 G-Friends 장학생 신청 안내 (외국인유학생 대상)
분실물센터,"2019년 5월 9일 분실물 (지갑, 팔찌, 에어팟)"
장학공지,2019년 상반기 군산시 대학생 학자금 이자지원 신청안내
개인정보제공 공시,[개정]제공 한 날부터 30일 이내에 게재
