link,title
,
./4094,2019학년도 여름 계절학기 수강신청 지연 관련 안내																									
,
./4093,학기말 수업평가 안내(학부)																									
,
./4091,2019학년도 2학기 재입학 안내																									
,
./4089,2019학년도 1학기 학업성적 확인 및 정정요청 기간 안내																									
,
./4092,2019년도 하계(제51차) 대학생을 위한 외교 워크숍 안내																									
,
./4090,2019-여름학기 교내/외 생활관 추가모집 안내																									
,
./4088,2019학년도 2학기 외국인 유학생 생활관 신청 안내																									
,
./4087,2019학년도 여름학기 사회봉사Ⅲ 교과목 신청 안내																									
,
./4086,다·부전공 지원조건 및 전형 변경 안내																									
,
./4085,2019학년도 1학기 Customized전공 과목 인정 신청 안내																									
,
./4083,2019학년도 하계 계절학기 수강신청 안내																									
,
./4082,2019학년도 1학기 기말시험 보조감독 모집																									
,
./4079,2018학년도 후기(2019년 8월 졸업) 예비졸업사정 결과 확인 및 이의신청 …																									
,
./4084,[경력개발지원단] 2019-하계 '재학생 직무체험 프로그램' 참가…																									
,
,
,
./4081,2019-1학기 팀팀Class 경험 공유회 개최 안내																									
,
,
,
./4080,2019년 제19기 하계 대학생 재능봉사 캠프 멘토(대학생) 모집 …																									
,
,
,
./4078,2019-1학기 글로벌영어 기말평가 신청 안내 및 공지																									
,
,
,
./4077,"国民大学为留学生欢呼! 为留学生举办烧烤晚会 ""Yu's BBQ Kitche…																									"
,
,
,
./4074,2019학년도 하계 계절학기 국내대학간 학점교류 신청 안내																									
,
,
,
./4076,2019년 전반기 학생 예비군훈련 안내																									
,
,
,
./4073,2019 내가 만드는 연계융합전공 교육과정 설계 공모전 신청 안내																									
,
,
,
./4075,2019학년도 하계 계절학기 안내																									
,
,
,
./4072,2019학년도 1학기 국민* 커뮤니티 매핑데이 참여 안내																									
,
,
